ticker,median_bars_per_day,trading_days,total_returns,liquidity_class
PRGO,341.0,139,46444,train_only
PRGS,178.0,139,25468,excluded
PRI,103.0,139,17097,excluded
PRNB,134.0,139,19410,excluded
PRSP,306.0,139,41522,train_only
PS,363.0,139,48601,eval_eligible
PSMT,112.0,139,17328,excluded
PSTG,385.0,139,52450,eval_eligible
PSXP,188.0,139,27213,excluded
PTC,333.0,139,44673,train_only
PTCT,297.0,139,39297,train_only
PTON,387.0,122,46367,eval_eligible
PVH,358.0,139,47828,eval_eligible
PWR,355.0,139,48606,eval_eligible
PXD,379.0,139,51901,eval_eligible
PZZA,307.0,139,42893,train_only
QDEL,131.0,139,20235,excluded
QGEN,364.0,139,48775,eval_eligible
QLYS,182.0,139,26407,excluded
QRTEA,386.0,139,53013,eval_eligible
QRVO,377.0,139,50921,eval_eligible
QTS,241.0,139,33522,excluded
QTWO,231.0,139,32846,excluded
QURE,243.0,139,33836,excluded
R,300.0,139,40806,train_only
RAD,371.0,139,49785,eval_eligible
RAMP,274.0,139,37611,excluded
RARE,252.0,139,35013,excluded
RBC,54.0,139,8306,excluded
RCL,377.0,139,51461,eval_eligible
RDN,350.0,139,47533,eval_eligible
REG,319.0,139,42968,train_only
REXR,286.0,139,38745,train_only
REYN,291.0,35,10036,train_only
RF,389.0,139,53526,eval_eligible
RGA,170.0,139,26919,excluded
RGEN,236.0,139,33768,excluded
RGLD,293.0,139,40138,train_only
RH,340.0,139,45446,train_only
RHI,341.0,139,46297,train_only
RL,360.0,139,48085,eval_eligible
RMBS,260.0,139,36373,excluded
RNR,151.0,139,22532,excluded
RNST,127.0,139,19092,excluded
ROCK,118.0,139,18823,excluded
ROKU,389.0,139,53714,eval_eligible
RP,255.0,139,36151,excluded
RPM,284.0,139,39734,train_only
RS,248.0,139,34776,excluded
RUN,373.0,139,51108,eval_eligible
RXN,305.0,139,41030,train_only
RYN,242.0,139,34692,excluded
SABR,346.0,139,47099,train_only
SAFM,210.0,139,30009,excluded
SAIA,189.0,139,26644,excluded
